request_symbol,name,previous_management_style,management_evidence_version,matched_catalog_series_ids,management_style,management_confidence,management_source,evidence,source_url,source_zip,ncen_accession_number,ncen_series_id,ncen_fund_name,ncen_is_etf,ncen_is_index,ncen_match_route,identity_name_similarity,review_note,changed_from_previous
FLCH,Franklin FTSE China ETF,index_passive_identified,management_style_evidence_1.1,S000059502,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000059502,Franklin FTSE China ETF,Y,Y,series_id,1.0,,False
FLCO,Franklin Investment Grade Corporate ETF,not_determined,management_style_evidence_1.1,S000053775,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000053775,Franklin Investment Grade Corporate ETF,Y,,series_id,1.0,,True
FLDR,Fidelity Low Duration Bond Factor ETF,systematic_or_rules_based,management_style_evidence_1.1,S000062079,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1562565/000003540225001561/0000035402-25-001561-index.html,2025q4_ncen.zip,0000035402-25-001561,S000062079,Fidelity Low Duration Bond Factor ETF,Y,Y,series_id,1.0,,True
FLDZ,TrueShares Patriot Defense ETF,not_determined,management_style_evidence_1.1,,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1936157/000193615726000077/0001936157-26-000077-index.html,2026q1_ncen.zip,0001936157-26-000077,S000092119,RiverNorth Patriot ETF,Y,,ticker,0.5365853658536586,,True
FLEE,Franklin FTSE Europe ETF,index_passive_identified,management_style_evidence_1.1,S000059495,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000059495,Franklin FTSE Europe ETF,Y,Y,series_id,1.0,,False
FLEH,Franklin FTSE Europe Hedged ETF,index_passive_identified,management_style_evidence_1.1,S000059506,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000059506,Franklin FTSE Eurozone ETF,Y,Y,series_id,0.8,,False
FLEU,Franklin FTSE Eurozone ETF,index_passive_identified,management_style_evidence_1.1,,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000059506,Franklin FTSE Eurozone ETF,Y,Y,ticker,1.0,,False
FLGB,Franklin FTSE United Kingdom ETF,index_passive_identified,management_style_evidence_1.1,S000059499,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000059499,Franklin FTSE United Kingdom ETF,Y,Y,series_id,1.0,,False
FLGR,Franklin FTSE Germany ETF,index_passive_identified,management_style_evidence_1.1,S000059511,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000059511,Franklin FTSE Germany ETF,Y,Y,series_id,1.0,,False
FLGV,Franklin U.S. Treasury Bond ETF,not_determined,management_style_evidence_1.1,S000068596,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000068596,Franklin U.S. Treasury Bond ETF,Y,,series_id,1.0,,True
FLHY,Franklin High Yield Corporate ETF,not_determined,management_style_evidence_1.1,S000061946,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000061946,Franklin High Yield Corporate ETF,Y,,series_id,1.0,,True
FLIA,Franklin International Aggregate Bond ETF,not_determined,management_style_evidence_1.1,S000061947,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000061947,Franklin International Aggregate Bond ETF,Y,,series_id,1.0,,True
FLIN,Franklin FTSE India ETF,index_passive_identified,management_style_evidence_1.1,S000059503,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000059503,Franklin FTSE India ETF,Y,Y,series_id,1.0,,False
FLJH,Franklin FTSE Japan Hedged ETF,index_passive_identified,management_style_evidence_1.1,S000059496,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000059496,Franklin FTSE Japan Hedged ETF,Y,Y,series_id,1.0,,False
FLJP,Franklin FTSE Japan ETF,index_passive_identified,management_style_evidence_1.1,S000059514,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000059514,Franklin FTSE Japan ETF,Y,Y,series_id,1.0,,False
FLKR,Franklin FTSE South Korea ETF,index_passive_identified,management_style_evidence_1.1,S000059497,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000059497,Franklin FTSE South Korea ETF,Y,Y,series_id,1.0,,False
FLLA,Franklin FTSE Latin America ETF,index_passive_identified,management_style_evidence_1.1,S000063035,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000063035,Franklin FTSE Latin America ETF,Y,Y,series_id,1.0,,False
FLLV,Franklin Liberty U.S. Low Volatility ETF,systematic_or_rules_based,management_style_evidence_1.1,S000053774,active_identified,high,primary_source_override,Issuer launch release identifies FLLV as an actively managed ETF,https://www.franklintempleton.com/press-releases/news-room/2016/franklin-templeton-investments-introduces-suite-of-actively-managed-etfs,,,,,,,manual_ticker_override,,,True
FLMB,Franklin Municipal Green Bond ETF,not_determined,management_style_evidence_1.1,S000057880,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000057880,Franklin Municipal Green Bond ETF,Y,,series_id,1.0,,True
FLMI,Franklin Dynamic Municipal Bond ETF,not_determined,management_style_evidence_1.1,S000057879,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000057879,Franklin Dynamic Municipal Bond ETF,Y,,series_id,1.0,,True
FLMX,Franklin FTSE Mexico ETF,index_passive_identified,management_style_evidence_1.1,S000059504,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000059504,Franklin FTSE Mexico ETF,Y,Y,series_id,1.0,,False
FLN,First Trust Latin America AlphaDEX Fund,index_passive_identified,management_style_evidence_1.1,S000031797,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1510337/000094040026009998/0000940400-26-009998-index.html,2026q1_ncen.zip,0000940400-26-009998,S000031797,First Trust Latin America AlphaDEX Fund,Y,Y,series_id,1.0,,False
FLOT,iShares Floating Rate Bond ETF,not_determined,management_style_evidence_1.1,S000033136,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1100663/000141036826001031/0001410368-26-001031-index.html,2026q1_ncen.zip,0001410368-26-001031,S000033136,iShares Floating Rate Bond ETF,Y,Y,series_id,1.0,,True
FLQD,Franklin LibertyQ Global Dividend ETF,systematic_or_rules_based,management_style_evidence_1.1,S000053153,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000053153,Franklin U.S. Core Dividend Tilt Index ETF,Y,Y,series_id,0.5970149253731343,,True
FLQE,Franklin LibertyQ Emerging Markets ETF,not_determined,management_style_evidence_1.1,S000053152,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000053152,Franklin Emerging Market Core Dividend Tilt Index ETF,Y,Y,series_id,0.625,,True
FLQG,Franklin LibertyQ Global Equity ETF,not_determined,management_style_evidence_1.1,S000053154,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000053154,Franklin U.S. Equity Index ETF,Y,Y,series_id,0.6181818181818182,,True
FLQH,Franklin LibertyQ International Equity Hedged ETF,not_determined,management_style_evidence_1.1,S000053151,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000053151,Franklin International Core Dividend Tilt Index ETF,Y,Y,series_id,0.6292134831460674,,True
FLQL,Franklin U.S. Large Cap Multifactor Index ETF,systematic_or_rules_based,management_style_evidence_1.1,S000057200,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000057200,Franklin U.S. Large Cap Multifactor Index ETF,Y,Y,series_id,1.0,,True
FLQM,Franklin U.S. Mid Cap Multifactor Index ETF,systematic_or_rules_based,management_style_evidence_1.1,S000057201,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000057201,Franklin U.S. Mid Cap Multifactor Index ETF,Y,Y,series_id,1.0,,True
FLQS,Franklin U.S. Small Cap Multifactor Index ETF,systematic_or_rules_based,management_style_evidence_1.1,S000057202,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000057202,Franklin U.S. Small Cap Multifactor Index ETF,Y,Y,series_id,1.0,,True
FLRG,Fidelity U.S. Multifactor ETF,systematic_or_rules_based,management_style_evidence_1.1,S000068350,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/945908/000141036825014301/0001410368-25-014301-index.html,2025q4_ncen.zip,0001410368-25-014301,S000068350,Fidelity U.S. Multifactor ETF,Y,Y,series_id,1.0,,True
FLRN,State Street SPDR Bloomberg Investment Grade Floating Rate ETF,index_passive_identified,management_style_evidence_1.1,,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1064642/000141036826040180/0001410368-26-040180-index.html,2026q2_ncen.zip,0001410368-26-040180,S000034874,SPDR Bloomberg Investment Grade Floating Rate ETF,Y,Y,ticker,0.7962962962962963,,False
FLRT,Pacer Aristotle Pacific Floating Rate High Income ETF,not_determined,management_style_evidence_1.1,S000073714,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1616668/000114554925046416/0001145549-25-046416-index.html,2025q3_ncen.zip,0001145549-25-046416,S000073714,Pacer Pacific Asset Floating Rate High Income ETF,Y,,series_id,0.8409090909090909,,True
FLSA,Franklin FTSE Saudi Arabia ETF,index_passive_identified,management_style_evidence_1.1,S000063031,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000063031,Franklin FTSE Saudi Arabia ETF,Y,Y,series_id,1.0,,False
FLSP,Franklin Systematic Style Premia ETF,not_determined,management_style_evidence_1.1,S000066719,systematic_or_rules_based,medium,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; classification refined by transparent product-name evidence (strategy_name_identifies_rules_or_overlay),https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000066719,Franklin Systematic Style Premia ETF,Y,,series_id,1.0,,True
FLSW,Franklin FTSE Switzerland ETF,index_passive_identified,management_style_evidence_1.1,S000059498,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000059498,Franklin FTSE Switzerland ETF,Y,Y,series_id,1.0,,False
FLTB,Fidelity Limited Term Bond ETF,not_determined,management_style_evidence_1.1,S000042569,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1562565/000003540225001561/0000035402-25-001561-index.html,2025q4_ncen.zip,0000035402-25-001561,S000042569,Fidelity Limited Term Bond ETF,Y,,series_id,1.0,,True
FLTR,VanEck IG Floating Rate ETF,not_determined,management_style_evidence_1.1,S000028942,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1137360/000175272425165267/0001752724-25-165267-index.html,2025q3_ncen.zip,0001752724-25-165267,S000028942,VanEck IG Floating Rate ETF,Y,Y,series_id,1.0,,True
FLTW,Franklin FTSE Taiwan ETF,index_passive_identified,management_style_evidence_1.1,S000059507,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000059507,Franklin FTSE Taiwan ETF,Y,Y,series_id,1.0,,False
FLUD,Franklin Ultra Short Bond ETF,not_determined,management_style_evidence_1.1,S000068139,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1655589/000094040026023418/0000940400-26-023418-index.html,2026q2_ncen.zip,0000940400-26-023418,S000068139,Franklin Ultra Short Bond ETF,Y,,series_id,1.0,,True
FLV,American Century Focused Large Cap Value ETF,systematic_or_rules_based,management_style_evidence_1.1,S000063005,active_identified,high,primary_source_override,Issuer states that FLV is actively managed and does not replicate an index,https://www.americancentury.com/advisors/investment-products/etfs/,,,,,,,manual_ticker_override,,,True
FMAG,Fidelity Magellan ETF,not_determined,management_style_evidence_1.1,S000070234,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/945908/000141036825014301/0001410368-25-014301-index.html,2025q4_ncen.zip,0001410368-25-014301,S000070234,Fidelity Magellan ETF,Y,,series_id,1.0,,True
FMAT,Fidelity MSCI Materials Index ETF,index_passive_identified,management_style_evidence_1.1,S000042578,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/945908/000141036825014301/0001410368-25-014301-index.html,2025q4_ncen.zip,0001410368-25-014301,S000042578,Fidelity MSCI Materials Index ETF,Y,Y,series_id,1.0,,False
FMB,First Trust Managed Municipal ETF,active_identified,management_style_evidence_1.1,S000044373,active_identified,high,primary_source_override,Issuer lists FMB in its official actively managed ETF roster,https://www.ftportfolios.com/retail/etf/etflist.aspx?Type=ActivelyManaged,,,,,,,manual_ticker_override,,,False
FMF,First Trust Managed Futures Strategy Fund,active_identified,management_style_evidence_1.1,S000037848,active_identified,high,primary_source_override,Issuer lists FMF in its official actively managed ETF roster,https://www.ftportfolios.com/retail/etf/etflist.aspx?Type=ActivelyManaged,,,,,,,manual_ticker_override,,,False
FMHI,First Trust Municipal High Income ETF,not_determined,management_style_evidence_1.1,S000051606,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1424212/000094040025003112/0000940400-25-003112-index.html,2025q4_ncen.zip,0000940400-25-003112,S000051606,First Trust Municipal High Income ETF,Y,,series_id,1.0,,True
FMNY,First Trust New York Municipal High Income ETF,not_determined,management_style_evidence_1.1,S000070485,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1424212/000094040025003112/0000940400-25-003112-index.html,2025q4_ncen.zip,0000940400-25-003112,S000070485,First Trust New York Municipal High Income ETF,Y,,series_id,1.0,,True
FMQQ,FMQQ The Next Frontier Internet ETF,not_determined,management_style_evidence_1.1,S000073704,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1452937/000204825125002330/0002048251-25-002330-index.html,2025q4_ncen.zip,0002048251-25-002330,S000073704,FMQQ The Next Frontier Internet ETF,Y,Y,series_id,1.0,,True
FNCL,Fidelity MSCI Financials Index ETF,index_passive_identified,management_style_evidence_1.1,S000042574,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/945908/000141036825014301/0001410368-25-014301-index.html,2025q4_ncen.zip,0001410368-25-014301,S000042574,Fidelity MSCI Financials Index ETF,Y,Y,series_id,1.0,,False
FNDA,Schwab Fundamental U.S. Small Company ETF,systematic_or_rules_based,management_style_evidence_1.1,,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1454889/000141036826043209/0001410368-26-043209-index.html,2026q2_ncen.zip,0001410368-26-043209,S000040878,Schwab Fundamental U.S. Small Company ETF,Y,Y,ticker,1.0,,True
FNDB,Schwab Fundamental U.S. Broad Market ETF,systematic_or_rules_based,management_style_evidence_1.1,,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1454889/000141036826043209/0001410368-26-043209-index.html,2026q2_ncen.zip,0001410368-26-043209,S000040876,Schwab Fundamental U.S. Broad Market ETF,Y,Y,ticker,1.0,,True
FNDC,Schwab Fundamental International Small Equity ETF,systematic_or_rules_based,management_style_evidence_1.1,,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1454889/000141036826043209/0001410368-26-043209-index.html,2026q2_ncen.zip,0001410368-26-043209,S000040880,Schwab Fundamental International Small Equity ETF,Y,Y,ticker,1.0,,True
FNDE,Schwab Fundamental Emerging Markets Equity ETF,systematic_or_rules_based,management_style_evidence_1.1,,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1454889/000141036826043209/0001410368-26-043209-index.html,2026q2_ncen.zip,0001410368-26-043209,S000040881,Schwab Fundamental Emerging Markets Equity ETF,Y,Y,ticker,1.0,,True
FNDF,Schwab Fundamental International Equity ETF,systematic_or_rules_based,management_style_evidence_1.1,,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1454889/000141036826043209/0001410368-26-043209-index.html,2026q2_ncen.zip,0001410368-26-043209,S000040879,Schwab Fundamental International Equity ETF,Y,Y,ticker,1.0,,True
FNDX,Schwab Fundamental U.S. Large Company ETF,systematic_or_rules_based,management_style_evidence_1.1,,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1454889/000141036826043209/0001410368-26-043209-index.html,2026q2_ncen.zip,0001410368-26-043209,S000040877,Schwab Fundamental U.S. Large Company ETF,Y,Y,ticker,1.0,,True
FNGS,"MicroSectors FANG  ETNs due January 8, 2038",not_determined,management_style_evidence_1.1,,not_applicable_security,high,primary_source_override,Issuer describes an unsecured exchange-traded note linked to the NYSE FANG+ Index,https://microsectors.com/fang/,,,,,,,manual_ticker_override,,Debt instrument: management-style taxonomy is not applicable.,True
FNK,First Trust Mid Cap Value AlphaDEX Fund,systematic_or_rules_based,management_style_evidence_1.1,S000031805,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1383496/000094040025003091/0000940400-25-003091-index.html,2025q4_ncen.zip,0000940400-25-003091,S000031805,First Trust Mid Cap Value AlphaDEX Fund,Y,Y,series_id,1.0,,True
FNX,First Trust Mid Cap Core AlphaDEX Fund,index_passive_identified,management_style_evidence_1.1,S000017338,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1383496/000094040025003091/0000940400-25-003091-index.html,2025q4_ncen.zip,0000940400-25-003091,S000017338,First Trust Mid Cap Core AlphaDEX Fund,Y,Y,series_id,1.0,,False
FNY,First Trust Mid Cap Growth AlphaDEX Fund,systematic_or_rules_based,management_style_evidence_1.1,S000031804,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1383496/000094040025003091/0000940400-25-003091-index.html,2025q4_ncen.zip,0000940400-25-003091,S000031804,First Trust Mid Cap Growth AlphaDEX Fund,Y,Y,series_id,1.0,,True
FORH,Formidable ETF,not_determined,management_style_evidence_1.1,S000071248,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1771146/000100472626004649/0001004726-26-004649-index.html,2026q2_ncen.zip,0001004726-26-004649,S000071248,Formidable ETF,Y,,series_id,1.0,,True
FPA,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,index_passive_identified,management_style_evidence_1.1,S000031803,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1510337/000094040026009998/0000940400-26-009998-index.html,2026q1_ncen.zip,0000940400-26-009998,S000031803,First Trust Asia Pacific ex-Japan AlphaDEX Fund,Y,Y,series_id,1.0,,False
FPAG,FPA Global Equity ETF,not_determined,management_style_evidence_1.1,S000074718|S000083872,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/924727/000114554924078688/0001145549-24-078688-index.html,2024q4_ncen.zip,0001145549-24-078688,S000083872,FPA Global Equity ETF,Y,,series_id,1.0,,True
FPE,First Trust Preferred Securities and Income ETF ETF,not_determined,management_style_evidence_1.1,,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1424212/000094040026000182/0000940400-26-000182-index.html,2026q1_ncen.zip,0000940400-26-000182,S000034980,First Trust Preferred Securities and Income ETF,Y,,ticker,0.9318181818181818,,True
FPEI,First Trust Institutional Preferred Securities and Income ETF,not_determined,management_style_evidence_1.1,S000058182,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1424212/000094040026000182/0000940400-26-000182-index.html,2026q1_ncen.zip,0000940400-26-000182,S000058182,First Trust Institutional Preferred Securities and Income ETF,Y,,series_id,1.0,,True
FPFD,Fidelity Preferred Securities & Income ETF,not_determined,management_style_evidence_1.1,S000072125,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/945908/000003540225001557/0000035402-25-001557-index.html,2025q4_ncen.zip,0000035402-25-001557,S000072125,Fidelity Preferred Securities and Income ETF,Y,,series_id,0.96,,True
FPRO,Fidelity Real Estate Investment ETF,not_determined,management_style_evidence_1.1,S000070235,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/945908/000141036825014301/0001410368-25-014301-index.html,2025q4_ncen.zip,0001410368-25-014301,S000070235,Fidelity Real Estate Investment ETF,Y,,series_id,1.0,,True
FPWR,First Trust EIP Power Solutions ETF,not_determined,management_style_evidence_1.1,,non_index_management_identified,high,sec_ncen_c3,SEC N-CEN C.3 does not identify the series as an index fund; the filing alone does not distinguish discretionary from rules-based management,https://www.sec.gov/Archives/edgar/data/1517936/000094040026000180/0000940400-26-000180-index.html,2026q1_ncen.zip,0000940400-26-000180,S000066179,First Trust EIP Power Solutions ETF,Y,,ticker,1.0,,True
FPX,First Trust US Equity Opportunities ETF,not_determined,management_style_evidence_1.1,S000010977,index_passive_identified,high,sec_ncen_c3,SEC N-CEN C.3 identifies the series as an index fund,https://www.sec.gov/Archives/edgar/data/1329377/000094040026009992/0000940400-26-009992-index.html,2026q1_ncen.zip,0000940400-26-009992,S000010977,First Trust US Equity Opportunities ETF,Y,Y,series_id,1.0,,True
